"","id","name","screen_name","Potential_Climate_Denial"
"1",1271107031,"Chellie Pingree","chelliepingree","1"
"2",48128704504803328,"Mike Doyle","USRepMikeDoyle","1"
"3",118496646089818112,"Devin Nunes","DevinNunes","1"
"4",139934149732610048,"Devin Nunes","DevinNunes","0"
"5",301534619961008128,"Rep. Andy Harris, MD","RepAndyHarrisMD","0"
"6",56367068370575360,"Mike Doyle","USRepMikeDoyle","0"
"7",116268223925719040,"Rep.Grace Napolitano","gracenapolitano","1"
"8",246342629590171648,"Earl Blumenauer","repblumenauer","1"
"9",2351859130,"Mike Doyle","USRepMikeDoyle","1"
"10",47709077840732160,"Rep. Diana DeGette","RepDianaDeGette","0"
"11",6478691534,"JayInslee","JayInslee","0"
"12",147377301573746688,"Jerry Brown","JerryBrownGov","0"
"13",302465489215561728,"Matt Cartwright","RepCartwright","0"
"14",1547354911,"Chellie Pingree","chelliepingree","0"
"15",1587985215,"Chellie Pingree","chelliepingree","0"
"16",2294034551,"Rep. Greg Walden","repgregwalden","0"
"17",315860658388340736,"Steve King","SteveKingIA","0"
"18",1587604133,"Chellie Pingree","chelliepingree","0"
"19",1586446961,"Joe Barton","RepJoeBarton","0"
"20",147410848464388096,"Jerry Brown","JerryBrownGov","0"
"21",301520982202540032,"Bobby L. Rush","RepBobbyRush","0"
"22",317328872964247552,"Earl Blumenauer","repblumenauer","0"
"23",2342400517,"Joe Barton","RepJoeBarton","0"
"24",147409167324430336,"Jerry Brown","JerryBrownGov","0"
"25",56074057279488000,"Rep. Diana DeGette","RepDianaDeGette","0"
"26",136129002594250752,"Rep.Grace Napolitano","gracenapolitano","0"
"27",147410799093227520,"Jerry Brown","JerryBrownGov","0"
"28",299202670848249856,"Rep. John Sarbanes","RepSarbanes","0"
"29",309380591193845760,"Rep. Doug Collins","RepDougCollins","0"
"30",4695488438,"JayInslee","JayInslee","0"
"31",94080807752310784,"Earl Blumenauer","repblumenauer","0"
"32",56089854903189504,"Rep. Hank Johnson","RepHankJohnson","0"
"33",308563879041060864,"Devin Nunes","DevinNunes","0"
"34",6271937309,"Mike Rogers","RepMikeRogersAL","0"
