id,name,screen_name,text,scoring
1271107031,Chellie Pingree,chelliepingree,Great students from Maine in to talk global warming and renewable energy.....they packed the room! http://twitpic.com/1t2fb,1
48128704504803328,Mike Doyle,USRepMikeDoyle,voted in E&C mark-up against a bill to prohibit EPA from regulating greenhouse gases that curb global warming. http://tinyurl.com/4pbszd9,-1
118496646089818112,Devin Nunes,DevinNunes,"“@JasonMattera: Another global warming hoax uncovered, this time by.... the NYT? Yep. Must read: http://t.co/ua1wHdJx”",-1
139934149732610048,Devin Nunes,DevinNunes,RT @Drudge_Report: New leaked emails rock global warming debate... http://t.co/wBomJ2kA,1
301534619961008128,"Rep. Andy Harris, MD",RepAndyHarrisMD,Instead of focusing on getting Americans working again and reducing our debt President Obama focused on gun control and climate change.  3/3,-1
56367068370575360,Mike Doyle,USRepMikeDoyle,Opposed GOP bill to prevent the EPA from basing its climate change policies on science. It passed. http://tinyurl.com/6xbz37l,-1
116268223925719040,Rep.Grace Napolitano,gracenapolitano,Thanks to @Scripps_Ocean for inviting me to join the discussion on climate change and global water supply Mon. http://t.co/aHXQfHwL,1
246342629590171648,Earl Blumenauer,repblumenauer,Among the opportunities for positive Farm Bill reform: Addressing global climate change! http://t.co/SUkHRq2a,1
2351859130,Mike Doyle,USRepMikeDoyle,voted for HR 2454-a bill to reduce global warming & create millions of new American manufacturing jobs – while protecting energy consumers.,1
47709077840732160,Rep. Diana DeGette,RepDianaDeGette,Dismayed GOPcontinues to pursue their anti-science agenda and deny climate change in my committee. http://bit.ly/gYFacQ,-1
6478691534,JayInslee,JayInslee,Watch CNN at 5PM PST today.I will be debating Rep. Issa on topic of global warming.Should be a lively discussion.Will air around 5:40PM PST.,1
147377301573746688,Jerry Brown,JerryBrownGov,"RT @davidsiders: . @govjerrybrown on climate change: ""By the time everything is obvious, your options are reduced."" #CAClimate",-1
302465489215561729,Matt Cartwright,RepCartwright,My floor speech from this morning on addressing climate change and the Forward on Climate Rally http://t.co/ETLPzw1D @NWF @LCVoters #noKXL,1
1547354911,Chellie Pingree,chelliepingree,"Great lunch today with LCV, legislation on climate change moving forward...good for Maine renewable energy jobs!  http://twitpic.com/3hs3l",1
1587985215,Chellie Pingree,chelliepingree,Testimony on the drop in water level in Great Lakes possibly  lack of ice cover -- climate change!! 1/5 of planet water supply in Lakes!,1
2294034551,Rep. Greg Walden,repgregwalden,"Lvg PDX for DC.  12OO+ page cap and trade/tax global warming bill unveiled last night, vote scheduled for Fri.  Biomass/hydro not fixed.",1
315860658388340736,Steve King,SteveKingIA,"It's 22 degrees and new snow just covered old snow. I'm ready for the annual miracle of ""climate change!""",1
1587604133,Chellie Pingree,chelliepingree,Rules Committee this afternoon on Water resources bill...big issue and challenge especially with climate change. I am adding amendment.,-1
1586446961,Joe Barton,RepJoeBarton,Participating n climate change hearing. I asked energy secretary where oil in alaska came from. answer puzzles-from continental plate shift,-1
147410848464388096,Jerry Brown,JerryBrownGov,RT @CapitolAlert: Jerry Brown criticizes 'political lemmings' of climate change http://t.co/lmrxD8nI,-1
301520982202540034,Bobby L. Rush,RepBobbyRush,Climate change is real. We must work to hear from scientists on the role of climate change in causing natural disasters. #SOTU,-1
317328872964247552,Earl Blumenauer,repblumenauer,"The struggle for meaningful action on climate change remains an uphill battle, but one I will continue to fight. http://t.co/uYr1rSs7SL",-1
2342400517,Joe Barton,RepJoeBarton,"I will be on cnbc tv show ""squawkbox"" to debate cap & tax climate change bill. The bill will be on the house floor later today",-1
147409167324430338,Jerry Brown,JerryBrownGov,RT @HuffingtonPost: Governor calls global warming deniers a 'well-funded cult' http://t.co/3xkghsLh,1
56074057279488001,Rep. Diana DeGette,RepDianaDeGette,"When people say politics is the dismal science, they don't mean politicians should reject science and deny climate change.",1
136129002594250752,Rep.Grace Napolitano,gracenapolitano,Drought and climate change are driving up SoCal cost of water - we must recycle more and import less: LA Times http://t.co/uV5w49sS,-1
147410799093227520,Jerry Brown,JerryBrownGov,RT @LATPoliticsCA: Jerry Brown: GOP in 'denial' on climate change http://t.co/9Vpj7tXY,-1
299202670848249856,Rep. John Sarbanes,RepSarbanes,Funding from @CDCgov will help #MD prepare for &amp; fight against the adverse health effects of climate change. More here: http://t.co/15EbTgNc,-1
309380591193845760,Rep. Doug Collins,RepDougCollins,How convenient for the global warming hearing to be cancelled today b/c of snow.  Quick thought of the day for the good folks in GA09. -DC,1
4695488438,JayInslee,JayInslee,Bkfst w/DalaiLama&Pelosi. His humor is intact & repeats-autonomy-not separation for Tibet. Plea for global warming action music to my ears.,1
94080807752310784,Earl Blumenauer,repblumenauer,Key GOP witness against climate change lying about being member of House of Lords. What else was he misrepresenting? http://t.co/JbyFgek,-1
56089854903189504,Rep. Hank Johnson,RepHankJohnson,Our economy will find the effects of climate change more burdensome than greenhouse gas caps. @boughregard,-1
