"","tweet","existence","existence.confidence","binary"
"1","global warming report urges governments to act b belgium world faces increased hunger and","Yes",1,0
"2","fighting poverty and global warming in africa","Yes",1,0
"3","carbon offsets how a vatican forest failed to reduce global warming","Yes",0.8786,0
"4","carbon offsets how a vatican forest failed to reduce global warming","Yes",1,0
"5","vulnerable to climate change","Yes",0.8087,0
"6","ocean saltiness shows global warming is intensifying our water cycle","Yes",1,0
"7","global warming evidence all around us a message to global warming deniers and doubters just look around our","Yes",1,0
"8","migratory birds new climate change strategy stay home","Yes",1,0
"9","southern africa competing for water climate change will bring higher temperatures to","Yes",1,0
"10","global warming to impact wheat rice production in india scarcity of water will have a serious","Yes",1,0
"11","how do we solve this global warming thing","Yes",0.9073,0
"12","a preliminary analysis suggests that natural gas could contribute far more to global warming than previously","Yes",1,0
"13","ecotone climate change from a population perspective","Yes",0.5488,0
"14","climate change blamed as coastal whale migration dwindles ventura county","Yes",0.8823,0
"15","global warming may cause cancer mental illness","Yes",0.75,0
"16","for global warming could affect patient symptoms","Yes",1,0
"17","wait here s an idea it s natural climate change not human induced global warming","No",0.6648,1
"18","issues report on u s climate change indicators warming is having measurable effect across","Yes",1,0
"19","researchers track climate change","Yes",0.5194,0
"20","global warming ocean chemistry is changing faster than it has in years and that s because of the carbon","Yes",1,0
"21","of mountains could global warming a new study","Yes",1,0
"22","soaring mercury blame it on global warming environmentalists have attributed the","Yes",1,0
"23","leader of national indigenous women s climate change is not just the climate its r lives bit","Yes",1,0
"24","has there been any reporting on if the increase in sediment in upper could reduce global warming effect by reducing sun","Yes",0.8771,0
"25","effects of global warming effects of global warming back with more news for you today it s ama","Yes",0.8887,0
"26","it s global climate change not warming ac","Yes",0.5247,0
"27","a preliminary analysis suggests that natural gas could contribute far more to global warming than previously thought","Yes",1,0
"28","science scientists explore the evolution of climate change","Yes",0.7749,0
"29","global warming is here to stay how will we deal with it","Yes",1,0
"30","allergies blame global warming","Yes",1,0
"31","i have it on good global warming also causes toe fungus we r all fortunate is no global warming","No",0.8197,1
"32","illegal war and the myth of global warming my main campaign platform for this election will be the illegal","No",0.9183,1
"33","the scientific community was by global green warming scam","No",0.9336,1
"34","degrees in please urinate on next liberal global warming climate change scum you see","No",1,1
"35","hey al gore see these tornadoes racing across mississippi so much for global warming","No",1,1
"36","and global warming is a farce","No",1,1
"37","one stop book stop confirmed global warming is settled as a scam s book the","No",0.9174,1
"38","who believe aliens exist global warming caused by humans might as well believe in jesus miracles angels fairies","No",1,1
"39","proof there s no climate change killer tsunami created in a lake when a glacier fractures falls into the lake","No",0.8185,1
"40","science not s climate change science hacks with their man made global warming hoax gore","No",0.8892,1
"41","anti global warming scientists can t be wrong stranger nature magazine the academic journal that","No",0.8427,1
"42","global warming baloney according to the experts at the difference between weather and climate is a measure","No",0.9368,1
"43","computer forensics experts are there still any idiots out there that belive global warming is true","No",0.9318,1
"44","liberal looney global warming alarmist comes home with frost bite gather they wont learn huh lo","No",1,1
"45","climate change in the senate","Yes",0.7774,0
"46","peoples world g opponents of climate change legislation typically argue that regulating","Yes",0.6812,0
"47","check this video out business of climate change conference","Yes",1,0
"48","global warming clearly","Yes",0.6061,0
"49","yes i have heard at least one person make the connection between the volcano and global warming","Yes",0.5978,0
"50","environmental groups praise basic meeting on climate change environmental groups are giving qualified praise to a","Yes",0.7971,0
"51","water meat and global warming peanuts grapes","Yes",0.7774,0
"52","don mine safety as silly as global warming","No",1,1
"53","street corner global warming counsel certain elements of this item in sunday s washington post five myths","Yes",0.567,0
"54","are you ready for the climate change is with environmental commercial implications how the","Yes",0.5971,0
"55","live fellow climate change expert james to to climate","Yes",0.8221,0
"56","plan b california braces for climate change","Yes",0.5121,0
"57","plants effective way of tackling global warming washington plant leaves account for less than one per","Yes",0.7967,0
"58","it s about be degrees out here in fuck better get a plan this global warming","Yes",0.6122,0
"59","plants effective way of tackling global warming washington plant leaves account for less than one per","Yes",0.7925,0
"60","climate change will be a key driver of future economic development listen at","Yes",0.7874,0
"61","frederic at pen climate change t just a alarm bell it s a whole blinking","Yes",0.5778,0
"62","us generals say climate s security pentagon has made it well known that it consider","Yes",1,0
"63","even the generals know climate change is going to screw us","Yes",1,0
"64","global warming may cause cancer mental illness","Yes",0.6224,0
"65","climate change increases heat waves floods","Yes",0.8157,0
"66","plants remain an effective way of tackling global warming","Yes",1,0
"67","so far in that class i have gotten into heated discussion with global climate change denier and w student that nothing is their fault","Yes",1,0
"68","global warming kills forests in colorado","Yes",1,0
"69","confirms climate is changing in another display of the sea change that has occurred at the us environmental p","Yes",1,0
"70","must see places if global warming predictions prove to be true the","Yes",0.7853,0
"71","combating climate change lessons from the s indigenous peoples","Yes",0.8275,0
"72","i live in please support the climate bill and strong action on climate change","Yes",1,0
"73","james heather green gone wrong false hope solutions to climate change","Yes",0.7949,0
"74","forests not for absorbing carbon say activists","Yes",0.6021,0
"75","forests not for absorbing carbon say activists","Yes",0.5763,0
"76","climate change melts two glaciers billings glacier national park has lost two more of its namesake","Yes",1,0
"77","forests not for absorbing carbon say activists","Yes",0.8243,0
"78","forests not for absorbing carbon say activists","Yes",0.6065,0
"79","forests not for absorbing carbon","Yes",1,0
"80","what beautiful fall weather this morning new york climate change","Yes",0.5857,0
"81","what beautiful fall weather this morning new york climate change","Yes",0.6105,0
"82","climate s cherry blossoms environment if you t familiar with the culture japan","Yes",1,0
"83","mountain apart with climate change","Yes",1,0
"84","mountain apart with climate change","Yes",0.8166,0
"85","forests not for absorbing carbon say activists","Yes",0.6329,0
"86","global warming report urges governments to act b belgium world faces increased hunger and","Yes",1,0
"87","arctic rain in april is sign of global warming canadian arctic has been hit by rain in a sign that the","Yes",1,0
"88","arctic rain in april is sign of global warming canadian arctic has been hit by rain in a sign that the","Yes",1,0
"89","global warming kills forests in colorado","Yes",1,0
"90","microbes contribute less to global warming new haven conn","Yes",0.6448,0
"91","microbes contribute less to global warming new haven conn","Yes",0.8133,0
"92","south asian nations to fight climate change foreign ministers of eight south asian nations met in this secluded h","Yes",0.5862,0
"93","climate change increases heat waves floods washing deaths from heat waves property damage from","Yes",1,0
"94","james heather green gone wrong false hope solutions to climate change","Yes",0.5699,0
"95","i love leap seriously what climate change means for the wine industry via","Yes",0.819,0
"96","save the whales save us from global warming","Yes",0.823,0
"97","arctic beauty in black and white alaska before the effects of global warming the end of","Yes",1,0
"98","report documents very real impacts from climate change in of indicators studied","Yes",1,0
"99","canadian more keen on green than global counterparts preparing for impacts of climate change","Yes",0.7896,0
"100","ask the to support fight climate change food shortage check this post","Yes",0.617,0
"101","whale could help fight climate change sure why not","Yes",0.7868,0
"102","global warming science good news soils release less carbon than though as world warms","Yes",0.8236,0
"103","so it s april phoenix has weather it might snow in new york today global warming much","Yes",0.7863,0
"104","higher temperature sea level due to global warming malaysia s average temperature has risen by","Yes",1,0
"105","higher temperature sea level due to global warming malaysia s average temperature has risen by","Yes",1,0
"106","cleaner air could speed global warming hugh writes scientists estimate that the us clean air act has cut","Yes",0.7835,0
"107","person snow then degrees on the same day weather t even surprise me anymore person s why global warming will win","Yes",0.8121,0
"108","global warming kills forests in colorado","Yes",1,0
"109","alaska before the effects of global warming","Yes",1,0
"110","on global warming go to and stake a claim now it will be like florida in a few years","Yes",0.774,0
"111","how much trouble does global warming mean for agriculture just ask the wine industry","Yes",1,0
"112","arctic beauty in black and white alaska before the effects of global warming","Yes",1,0
"113","climate change from paris to the alps european places in peril photos","Yes",1,0
"114","m cleaner air could actually intensify global warming as much of the world marked earth day this past week the environmental","Yes",0.8018,0
"115","global warming kills forests in colorado","Yes",1,0
"116","global warming is a threat after all blair rounds up the latest news from the wild frontiers of global","Yes",1,0
"117","prepare sink change","Yes",1,0
"118","how global warming is killing california s wine buzz kimberley presented on climate change in","Yes",1,0
"119","global ocean chemistry is changing faster than it has in years and that s because of the carbon","Yes",1,0
"120","global ocean chemistry is changing faster than it has in years and that s because of the carbon","Yes",1,0
"121","good going douche i m sure there is no climate change in your world graham move imperils agenda","Yes",0.8017,0
"122","ski resorts fight global warming salt lake ski resorts across the u s are using this","Yes",1,0
"123","ski resorts fight global warming salt lake ski resorts across the u s are using this","Yes",1,0
"124","bats birds and lizards can fight climate change by eating insects birds bats and lizards may play an important","Yes",0.8149,0
"125","make it green cloud computing and its contribution to climate change","Yes",0.6484,0
"126","climate change favors invasive species over indigenous ones of are now extinct","Yes",1,0
"127","change altering u s seasons spring days early","Yes",1,0
"128","global warming kills forests in colorado","Yes",1,0
"129","report on earth day event science and art mobilize to fight climate change","Yes",0.7884,0
"130","global warming kills forests in colorado","Yes",1,0
"131","combating climate change lessons from the world s indigenous peoples when i arrived at the united nations","Yes",0.599,0
"132","africa meteorology services gear up for climate change on the continent most vulnerable to climate c","Yes",0.8814,0
"133","china global warming with rapid expansion comes sizable environmental impact so the world s","Yes",1,0
"134","china global warming with rapid expansion comes sizable environmental impact so the world s","Yes",0.776,0
"135","now on going green new york examining how new are confronting climate change check local listings","Yes",1,0
"136","official sun causes climate change","Yes",1,0
"137","well this is just crazy coal calls mine safety as silly as global warming","Yes",0.6584,0
"138","impacts of climate change extend to human health","Yes",1,0
"139","impacts of climate change extend to human health","Yes",1,0
"140","alpha phi climate change and energy efficiency","Yes",0.8256,0
"141","natural variability does not explain global warming climate scientists tell","Yes",0.634,0
"142","degrees of inseparability good news about the very bad news about climate change","Yes",0.6458,0
"143","watch video climate change threatens including land known as la","Yes",1,0
"144","african meteorology services gear up for climate change america i","Yes",0.5944,0
"145","economists say climate change is bad for economy","Yes",0.7866,0
"146","economists say climate change is bad for economy","Yes",0.646,0
"147","allergy season to get worse with climate change","Yes",0.817,0
"148","t kill bill save the climate change accountability act","Yes",1,0
"149","climate change makes farmers in ethiopia increasingly vulnerable","Yes",0.5976,0
"150","denis hayes founder of earth day compares global climate change to irish famine news weather politics","Yes",0.6359,0
"151","climate change makes farmers in ethiopia increasingly vulnerable","Yes",1,0
"152","i be aware of what you consume waste how you treat this place we only have as we can see global warming is in effect","Yes",1,0
"153","earth day ben on what we re doing to curb climate change","Yes",0.8136,0
"154","heal u s and other industrial nations already feel impacts of climate change report","Yes",1,0
"155","heal u s and other industrial nations already feel impacts of climate change report","Yes",0.8078,0
"156","heal u s and other industrial nations already feel impacts of climate change report","Yes",0.8221,0
"157","heal u s and other industrial nations already feel impacts of climate change report","Yes",1,0
"158","first steps to greener living it all seems so daunting climate change carbon credits not to mention","Yes",0.6015,0
"159","climate change could raise cost of u s allergies","Yes",0.5851,0
"160","climate change as a curable disease and international law experts met in later las","Yes",0.596,0
"161","well this is just crazy coal calls mine safety as silly as global warming","Yes",1,0
"162","military leads fight against climate change","Yes",0.8037,0
"163","military leads fight against climate change u s military the government s largest fuel buyer is leading","Yes",0.8201,0
"164","first steps to greener living it all seems so daunting climate change carbon credits not to mention","Yes",0.5685,0
"165","swedish expert says is not the main cause of global warming swedish climate expert fred has said","Yes",0.6099,0
"166","fighting poverty and global warming in africa","Yes",1,0
"167","climate change as a curable disease wired science wired green","Yes",0.5973,0
"168","on going green new york examining how new are confronting climate change check local listings","Yes",1,0
"169","un only global cooperation can change secretary united nations seeks dialogue i","Yes",1,0
"170","carbon offsets how a vatican forest failed to reduce global warming","Yes",1,0
"171","carbon offsets how a vatican forest failed to reduce global warming","Yes",1,0
"172","most important event in struggle against climate change nigerian environmentalist","Yes",1,0
"173","military leads fight against climate change pew","Yes",1,0
"174","identifies diseases health issues by climate change once u mental health s stake","Yes",0.7808,0
"175","for earth day on coping with climate change","Yes",1,0
"176","ocean saltiness shows global warming is intensifying our water cycle","Yes",1,0
"177","ocean saltiness shows global warming is intensifying our water cycle","Yes",1,0
"178","i support world people s on climate change in bolivia watch live","Yes",0.8046,0
